연도,월,분기,청코드,내외항구분,수출입구분명,시설코드,시설명,부두구분명,아외국구분,적공구분,컨테이너수(10피트),컨테이너수(20피트),컨테이너수(40피트),컨테이너수(기타),전체개수,전체물동량
2024,02,1,북항,외항,수입,29,신국제여객터미널,일반부두,아국선,적컨,66,261,338,0,665,970
2024,06,2,북항,외항,수출환적,29,신국제여객터미널,일반부두,아국선,적컨,0,60,243,0,303,546
2024,06,2,북항,외항,수입환적,29,신국제여객터미널,일반부두,아국선,적컨,0,25,24,0,49,73
2024,03,1,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2730,1697,1,4428,6126.25
2024,03,1,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,2058,1650,0,3708,5358
2024,03,1,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,1258,1521,0,2779,4300
2024,04,2,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1248,971,0,2219,3190
2024,04,2,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,999,1006,0,2005,3011
2024,04,2,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,1896,1427,2,3325,4754.5
2024,04,2,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2761,2740,0,5501,8241
2024,03,1,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,3280,3288,0,6568,9856
2024,08,3,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,754,663,0,1417,2080
2024,08,3,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,856,950,0,1806,2756
2024,08,3,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2132,1438,1,3571,5010.25
2024,08,3,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2845,2672,0,5517,8189
2024,10,4,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1765,1629,0,3394,5023
2024,10,4,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,1854,1681,0,3535,5216
2024,10,4,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2808,2129,0,4937,7066
2024,10,4,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,3355,3436,0,6791,10227
2024,02,1,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1893,1288,0,3181,4469
2024,02,1,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,1847,1974,0,3821,5795
2024,02,1,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2188,1745,0,3933,5678
2024,02,1,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2181,2362,2,4545,6909.5
2024,06,2,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1538,1647,0,3185,4832
2024,06,2,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,1249,1304,0,2553,3857
2024,06,2,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2100,1924,0,4024,5948
2024,06,2,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2972,3252,0,6224,9476
2024,11,4,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1743,1671,0,3414,5085
2024,11,4,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,1739,1739,0,3478,5217
2024,11,4,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2752,1947,0,4699,6646
2024,07,3,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1330,1089,0,2419,3508
2024,07,3,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,780,892,0,1672,2564
2024,07,3,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2607,1997,1,4605,6603.25
2024,07,3,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2815,2965,0,5780,8745
2024,11,4,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,3239,3380,0,6619,9999
2024,05,2,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1165,1154,0,2319,3473
2024,09,3,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,2205,1586,0,3791,5377
2024,09,3,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2845,2634,0,5479,8113
2024,09,3,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,942,900,0,1842,2742
2024,09,3,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,699,959,0,1658,2617
2024,12,4,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,2325,2268,0,4593,6861
2024,12,4,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,3756,3106,0,6862,9968
2024,12,4,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,4571,3279,1,7851,11131.25
2024,12,4,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,5152,5190,0,10342,15532
2024,01,1,북항,외항,수출환적,22,감만부두,컨테이너부두,아국선,적컨,0,1369,1197,0,2566,3763
2024,01,1,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,1001,988,0,1989,2977
2024,01,1,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,1951,1096,1,3048,4145.25
2024,01,1,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2239,2308,0,4547,6855
2024,05,2,북항,외항,수입환적,22,감만부두,컨테이너부두,아국선,적컨,0,701,869,0,1570,2439
2024,05,2,북항,외항,수출,22,감만부두,컨테이너부두,아국선,적컨,0,1741,1309,0,3050,4359
2024,05,2,북항,외항,수입,22,감만부두,컨테이너부두,아국선,적컨,0,2439,2453,0,4892,7345
2024,03,1,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,1210,693,0,1903,2596
2024,03,1,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,7,2,0,9,11
2024,03,1,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,0,2,0,2,4
2024,03,1,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,165,132,2,299,433.5
2024,10,4,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,80,2,0,82,84
2024,10,4,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,3,7,0,10,17
